PixelX,PixelY
196,39
195,40
311,42
309,43
310,43
311,43
314,43
309,44
310,44
311,44
308,46
319,46
321,47
308,48
321,48
323,49
324,50
17,53
14,54
15,54
16,54
17,54
20,54
337,54
338,54
339,54
340,54
341,54
14,55
15,55
16,55
17,55
19,55
337,55
338,55
339,55
340,55
341,55
342,55
14,56
15,56
16,56
17,56
18,56
19,56
20,56
337,56
339,56
340,56
341,56
342,56
344,56
345,56
14,57
15,57
16,57
17,57
18,57
19,57
342,57
343,57
344,57
345,57
346,57
14,58
15,58
16,58
17,58
312,58
344,58
345,58
346,58
347,58
14,59
15,59
16,59
17,59
20,59
23,59
31,59
52,59
57,59
311,59
344,59
347,59
14,60
15,60
16,60
17,60
18,60
19,60
30,60
31,60
32,60
33,60
35,60
36,60
37,60
38,60
39,60
40,60
41,60
14,61
15,61
16,61
17,61
18,61
19,61
31,61
32,61
33,61
35,61
36,61
37,61
38,61
39,61
14,62
15,62
16,62
17,62
18,62
31,62
32,62
33,62
35,62
36,62
37,62
38,62
39,62
311,62
14,63
15,63
16,63
14,64
15,64
16,64
14,65
15,65
16,65
17,66
16,67
17,67
17,68
18,72
19,72
18,73
19,73
17,74
18,74
19,74
320,75
274,76
276,76
246,79
329,83
330,83
329,84
330,84
328,85
329,85
330,85
328,88
351,88
327,89
34,91
85,92
83,93
200,93
200,95
327,97
30,98
31,103
28,106
33,106
28,107
357,108
203,109
307,111
248,113
249,113
200,117
201,117
234,118
202,120
310,120
308,122
131,123
308,123
309,123
25,128
376,132
363,133
373,133
302,134
362,134
363,134
371,134
372,134
373,134
376,134
79,135
299,135
300,135
306,135
340,135
364,135
372,135
348,139
365,141
251,143
252,143
363,143
364,143
366,143
362,144
363,144
364,144
366,144
363,145
364,145
366,145
108,146
279,146
363,146
364,146
32,147
134,147
320,147
362,147
363,147
364,147
362,148
363,148
364,148
172,149
173,149
320,149
360,149
361,149
169,150
359,150
360,150
361,150
169,151
359,151
360,151
361,151
358,153
34,154
113,154
163,155
164,155
286,155
320,155
321,155
353,155
354,155
164,156
353,156
165,157
166,157
351,157
353,157
287,159
86,160
119,161
122,161
123,161
124,161
126,161
147,161
119,162
122,162
123,162
124,162
147,162
119,163
120,163
121,163
123,163
124,163
142,163
210,163
45,164
123,164
45,165
120,165
46,166
47,166
142,166
84,167
144,167
45,168
82,168
120,170
120,171
43,172
87,174
139,174
87,175
90,175
344,175
47,177
344,177
332,180
175,181
356,181
347,182
61,183
116,185
156,186
