ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,PixelX,PixelY
1,Juicy,The Notorious B.I.G.,1994,male,140,18,9,3,3,1,2,196,39
2,Fight The Power,Public Enemy,1989,male,100,11,7,3,1,0,0,195,40
3,Shook Ones (Part II),Mobb Deep,1995,male,94,13,4,5,1,1,2,311,42
4,The Message,Grandmaster Flash & The Furious Five,1982,male,90,14,5,3,1,0,5,309,43
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,1992,male,84,14,2,4,2,4,2,310,43
6,C.R.E.A.M.,Wu-Tang Clan,1993,male,62,10,3,1,1,4,1,311,43
7,93 ’Til Infinity,Souls of Mischief,1993,male,50,7,2,2,2,0,1,314,43
8,Passin’ Me By,The Pharcyde,1992,male,48,6,3,2,0,0,1,309,44
9,N.Y. State Of Mind,Nas,1994,male,46,7,1,3,1,1,1,310,44
10,Dear Mama,2Pac,1995,male,42,6,2,1,1,2,0,311,44
11,Runaway,Kanye West ft. Pusha T,2010,male,38,5,2,0,3,0,0,308,46
12,Paid In Full,Eric B & Rakim,1987,male,36,5,1,1,3,0,0,319,46
13,Rapper’s Delight,Sugarhill Gang,1979,male,36,4,2,2,0,0,0,321,47
14,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,1992,male,34,6,1,0,2,3,0,308,48
15,Fuck Tha Police,NWA,1988,male,32,5,1,1,2,0,1,321,48
16,Electric Relaxation,A Tribe Called Quest,1993,male,32,5,0,3,1,0,1,323,49
17,B.O.B.,OutKast,2000,male,32,4,2,1,0,1,0,324,50
18,It Was A Good Day,Ice Cube,1992,male,30,5,2,0,1,0,2,17,53
19,U.N.I.T.Y.,Queen Latifah,1993,female,30,5,1,1,1,1,1,14,54
20,Doo Wop (That Thing),Lauryn Hill,1998,female,28,5,1,1,1,0,2,15,54
21,Lose Yourself,Eminem,2002,male,28,5,1,1,0,2,1,16,54
22,International Players Anthem,UGK ft. OutKast,2007,male,28,4,1,1,1,1,0,17,54
23,Rosa Parks,OutKast,1998,male,26,4,0,2,1,1,0,20,54
24,Jesus Walks,Kanye West,2004,male,24,6,0,0,2,2,2,337,54
25,Alright,Kendrick Lamar,2015,male,22,5,0,1,1,1,2,338,54
26,Grindin’,Clipse,2002,male,22,4,1,0,1,1,1,339,54
27,Rebel Without A Pause,Public Enemy,1988,male,22,4,1,0,1,1,1,340,54
28,Ready Or Not,The Fugees,1996,mixed,22,4,0,0,3,1,0,341,54
29,Protect Ya Neck,Wu-Tang Clan,1992,male,22,3,2,0,0,0,1,14,55
30,Life’s A Bitch,Nas ft. A.Z.,1994,male,20,3,0,2,0,1,0,15,55
31,Triumph,Wu-Tang Clan,1997,male,18,3,1,0,0,2,0,16,55
32,Changes,2Pac ft. Talent,1998,male,18,3,0,2,0,0,1,17,55
33,Exhibit C,Jay Electronica,2009,male,18,2,1,1,0,0,0,19,55
34,Hit ’Em Up,2Pac,1996,male,18,2,1,1,0,0,0,337,55
35,Planet Rock,Afrika Bambaataa & The Soulsonic Force,1982,male,18,2,1,1,0,0,0,338,55
36,Sucker MCs,Run DMC,1984,male,18,2,1,1,0,0,0,339,55
37,Walk This Way,Run DMC,1986,male,18,2,1,1,0,0,0,340,55
38,Lost Ones,Lauryn Hill,1998,female,16,3,0,1,1,0,1,341,55
39,Work It,Missy Elliott,2002,female,16,3,0,0,2,1,0,342,55
40,California Love,2Pac ft. Dr Dre,1996,male,16,2,1,0,1,0,0,14,56
41,Hip Hop,Dead Prez,2000,male,16,2,1,0,1,0,0,15,56
42,I Am I Be,De La Soul,1993,male,16,2,1,0,1,0,0,16,56
43,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,2010,mixed,16,2,0,2,0,0,0,17,56
44,Blood On The Leaves,Kanye West,2013,male,14,2,1,0,0,1,0,18,56
45,If I Ruled The World (Imagine That),Nas ft. Lauryn Hill,1996,mixed,14,2,1,0,0,1,0,19,56
46,In Da Club,50 Cent,2003,male,14,2,1,0,0,1,0,20,56
